epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.928,1.57459,2.53376,1.65405,0.45096,0.43845,0.40724,0.19368,1.72022,2.68944,1.86823,0.000553833,0.000553833,0.000553833
2,212.367,1.65536,2.07063,1.73019,0.32099,0.42847,0.28031,0.11851,2.03781,3.17591,2.11413,0.00108753,0.00108753,0.00108753
3,318.531,1.6883,1.98379,1.74965,0.37104,0.4214,0.29629,0.13463,1.75225,2.48284,1.89672,0.00159923,0.00159923,0.00159923
4,420.261,1.64248,1.89806,1.71456,0.40782,0.39048,0.3781,0.18175,1.84259,2.06774,1.94973,0.00156798,0.00156798,0.00156798
5,524.336,1.60909,1.80911,1.6886,0.53789,0.46964,0.47325,0.23709,1.66456,2.22952,1.83155,0.00153497,0.00153497,0.00153497
6,627.266,1.53776,1.70601,1.63657,0.64629,0.50865,0.56921,0.30057,1.62591,1.87566,1.72746,0.00150197,0.00150197,0.00150197
7,729.352,1.535,1.66066,1.62362,0.67184,0.54643,0.60902,0.33158,1.55539,1.52382,1.70935,0.00146896,0.00146896,0.00146896
8,830.144,1.49944,1.61473,1.60702,0.5703,0.5415,0.5596,0.30654,1.54525,1.70609,1.67583,0.00143595,0.00143595,0.00143595
9,933.379,1.48383,1.58948,1.58917,0.63319,0.49838,0.55686,0.30633,1.56335,1.59695,1.67756,0.00140295,0.00140295,0.00140295
10,1036.33,1.45247,1.53789,1.57561,0.65223,0.56466,0.61668,0.33866,1.50551,1.53979,1.65665,0.00136994,0.00136994,0.00136994
11,1139.6,1.4472,1.50797,1.55784,0.70916,0.54361,0.63123,0.36248,1.44586,1.42963,1.59641,0.00133693,0.00133693,0.00133693
12,1242.54,1.41482,1.45636,1.53574,0.67808,0.5706,0.64403,0.36364,1.47062,1.40499,1.61038,0.00130393,0.00130393,0.00130393
13,1346.37,1.41904,1.47714,1.53857,0.69873,0.57436,0.66249,0.38131,1.40487,1.38828,1.56484,0.00127092,0.00127092,0.00127092
14,1449.27,1.40039,1.42361,1.52524,0.71533,0.62572,0.70148,0.43577,1.36158,1.29366,1.52433,0.00123791,0.00123791,0.00123791
15,1552.83,1.36711,1.39571,1.50706,0.72761,0.60642,0.69603,0.42147,1.35443,1.31947,1.51345,0.00120491,0.00120491,0.00120491
16,1655.84,1.36442,1.38777,1.49086,0.69583,0.6247,0.69628,0.42533,1.36576,1.30803,1.52171,0.0011719,0.0011719,0.0011719
17,1757.76,1.35886,1.36331,1.49041,0.71634,0.6329,0.71221,0.43562,1.34415,1.24187,1.50863,0.00113889,0.00113889,0.00113889
18,1859.35,1.32517,1.32736,1.47229,0.67845,0.62809,0.69554,0.40264,1.38883,1.26604,1.5839,0.00110589,0.00110589,0.00110589
19,1961.71,1.33222,1.32134,1.47428,0.73945,0.63328,0.71369,0.43558,1.34926,1.25264,1.49575,0.00107288,0.00107288,0.00107288
20,2063.75,1.32952,1.31039,1.46819,0.75237,0.60832,0.71551,0.42908,1.36942,1.22649,1.51675,0.00103987,0.00103987,0.00103987
21,2166.74,1.30925,1.29349,1.45469,0.71175,0.61934,0.70935,0.43586,1.32218,1.25063,1.4911,0.00100687,0.00100687,0.00100687
22,2270.74,1.30802,1.27579,1.45407,0.74618,0.63943,0.73307,0.45435,1.30939,1.14101,1.469,0.000973861,0.000973861,0.000973861
23,2373.23,1.2762,1.25774,1.43772,0.76284,0.63978,0.74403,0.45543,1.31586,1.23877,1.49088,0.000940855,0.000940855,0.000940855
24,2477.42,1.27741,1.24478,1.44181,0.72194,0.64164,0.72739,0.45036,1.30806,1.25347,1.48848,0.000907848,0.000907848,0.000907848
25,2580.99,1.25967,1.2201,1.41772,0.74393,0.66598,0.75417,0.46723,1.29682,1.16418,1.44426,0.000874842,0.000874842,0.000874842
26,2684.61,1.26548,1.21315,1.42569,0.76113,0.66731,0.75775,0.47268,1.26984,1.14992,1.4446,0.000841835,0.000841835,0.000841835
27,2790.55,1.26859,1.20851,1.41961,0.73619,0.66069,0.75181,0.47628,1.26648,1.14769,1.45609,0.000808828,0.000808828,0.000808828
28,2895.17,1.24841,1.19999,1.41331,0.74706,0.67251,0.76472,0.47649,1.27512,1.10596,1.4309,0.000775822,0.000775822,0.000775822
29,3001.53,1.23372,1.16463,1.39736,0.7554,0.69328,0.77649,0.48642,1.26561,1.15404,1.42694,0.000742815,0.000742815,0.000742815
30,3106.02,1.22545,1.15373,1.39121,0.75258,0.71263,0.77896,0.49332,1.24617,1.11628,1.42464,0.000709809,0.000709809,0.000709809
31,3210.45,1.21977,1.13977,1.38704,0.77489,0.67915,0.78004,0.49995,1.23368,1.05742,1.41409,0.000676802,0.000676802,0.000676802
32,3318.28,1.20814,1.13893,1.3817,0.76857,0.69266,0.78161,0.50926,1.20593,1.06648,1.3921,0.000643795,0.000643795,0.000643795
